State,County,Democratic,Republican,Party
OH,ross,5778.948775341498,15569.573349314955,0
OH,sandusky,6954.289057199036,14112.613381462637,0
OH,scioto,8246.779541742002,14997.447399459332,0
OH,seneca,6385.499056106546,13890.484953616939,0
OH,shelby,6341.540878368338,12090.202726737534,1
OH,stark,66582.8349209465,76043.29101294324,0
OH,summit,126089.17418604094,96336.26456202209,1
OH,tuscarawas,10506.282519179138,19220.871174846015,0
OH,union,13298.10689583497,12624.466642789925,1
OH,vinton,1137.4503258738114,3560.8881931411815,0
OH,warren,65583.30182175132,44256.235396765114,0
OH,washington,9082.397639086435,14634.424039158774,0
OH,wayne,17640.3017507893,21818.28753865102,1
OH,williams,4429.290298156593,9299.51012630369,0
PA,adams,16425.95076754756,21037.12509196895,0
PA,allegheny,372250.27859805553,228461.0259233639,1
PA,armstrong,8280.844427683805,15836.776857267127,0
PA,beaver,32272.973761545156,37073.94079585018,0
PA,bedford,5059.268849241122,11176.66712990896,0
PA,bradford,8675.14325842766,14323.824730023412,0
PA,cameron,1047.3857595852787,2338.025033359969,0
PA,centre,44548.775683292486,32153.877437236697,0
PA,chester,188882.6142870601,90050.8787843698,1
PA,clarion,6847.837790069054,9185.239416426724,0
PA,clearfield,5624.618819513766,17712.95986642782,0
PA,clinton,5759.340046101643,9248.202116559398,0
PA,crawford,14220.833857084677,18623.38874531022,0
PA,cumberland,60699.43688165539,48822.15034846615,1
PA,dauphin,58456.44280120845,44264.82837912947,1
PA,delaware,157487.58884364803,92876.01479898108,1
PA,elk,4687.135739940673,8489.76864410105,0
PA,fayette,14734.233547516158,27835.783140127143,0
PA,forest,-1811.1128245353684,2184.2648669127375,0
PA,greene,4046.467258004104,8446.471604611299,1
PA,indiana,13936.68601463033,18802.234262813487,0
PA,jefferson,5428.328723121413,10995.087794500598,0
PA,juniata,2542.765890462222,5586.0811439344125,0
PA,lackawanna,43645.31773483215,43865.38581426323,1
PA,lancaster,94927.6305661189,86507.03878488496,0
PA,lawrence,14897.49295434535,19374.285393637612,0
PA,lebanon,19792.569114456794,26470.0213845529,0
PA,lehigh,73362.18246909554,64311.34101875192,0
PA,luzerne,51215.49005061179,64624.08631624199,0
PA,lycoming,18415.971982098665,24206.787761423297,0
PA,mercer,18840.75796187526,24006.11318516779,0
PA,monroe,27495.34913028234,31501.774322030367,1
PA,montgomery,291040.1534930511,147200.6925462173,1
PA,montour,4722.415198640694,4976.827566976412,0
PA,northumberland,9026.988031506951,19025.789021059663,0
PA,perry,5530.605181878105,10821.953372933467,0
PA,snyder,4919.979513383369,8131.520260959011,0
PA,somerset,6774.053191067625,16386.49045144181,0
PA,sullivan,1071.4601290897663,2701.590010836706,0
PA,susquehanna,5323.718661818944,10217.24734120608,0
PA,tioga,6863.163373941046,10050.806652802497,0
PA,union,4205.61648887967,8782.022026785027,0
PA,venango,7266.856307669594,12682.411749371899,0
PA,warren,6028.275194626789,10529.928151017159,0
PA,washington,45609.52369642911,44680.58518346616,0
PA,wayne,6049.996788680171,11979.452009757068,0
PA,westmoreland,77007.68972951389,80431.78296696347,0
PA,wyoming,4330.099766729545,7730.514247836616,0
PA,york,72487.18931672917,84517.18564747294,1
RI,bristol,17918.947695228468,9736.356771634113,1
RI,kent,41578.88543453123,34686.293731228616,1
RI,newport,28563.67137503759,16885.082746951462,1
RI,providence,114448.10170014933,88799.794146578,0
RI,washington,44096.12437452645,26044.83769667743,1
TN,bedford,4440.989988724923,7935.715583361327,0
TN,benton,1814.339976852527,4011.3733234993088,0
TN,bledsoe,125.16040701435122,2969.162903523975,0
TN,blount,22826.66253356476,25458.924855079695,0
TN,bradley,15691.368229163982,17549.134271742678,1
TN,campbell,2828.2288510128856,6099.277744079105,0
TN,cannon,1722.6662318773415,3807.1625129112326,0
TN,carroll,3224.649241017378,4908.251370246615,0
TN,cheatham,5900.437272251631,8565.747251919724,0
TN,chester,2580.9667506585865,4173.889038316645,0
TN,claiborne,3078.6847508420287,5597.94215779142,0
TN,coffee,7809.3168484928065,11095.6914045689,0
TN,cumberland,8300.672768318509,11210.99536586193,0
TN,davidson,180867.86145177294,75875.26489157323,1
TN,dekalb,2024.2754566182157,3986.235825542164,0
TN,decatur,1471.7554412426798,3351.7750623149695,0
TN,dickson,5400.106850923399,10108.667102017911,0
TN,franklin,6211.324786808054,8661.01179546084,0
TN,gibson,7070.194469482143,8610.0030222216,0
TN,giles,3336.192153770753,5972.938765400628,1
TN,grainger,2073.8184020928347,5018.741990605275,0
TN,greene,7336.366966546706,12455.605077739208,0
TN,grundy,1095.3715931039733,2925.306123884169,0
TN,hamblen,7223.391389213601,11099.41084609996,0
TN,hamilton,76641.44391546102,51895.28465790207,1
TN,hancock,914.9381062834655,2209.512239240128,0
